phenomenon,UID,count,acc_0.5B,std_0.5B,acc_1.5B,std_1.5B,acc_7B,std_7B,delta_0.5B_vs_1.5B,abs_delta_0.5B_vs_1.5B,delta_0.5B_vs_7B,abs_delta_0.5B_vs_7B,delta_1.5B_vs_7B,abs_delta_1.5B_vs_7B
quantifiers,superlative_quantifiers_1,300,0.08,0.27174648819470315,0.29333333333333333,0.4560506142576405,0.31,0.4632659976896476,0.21333333333333332,0.21333333333333332,0.22999999999999998,0.22999999999999998,0.016666666666666663,0.016666666666666663
anaphor,anaphor_gender_agreement,300,0.7233333333333334,0.4480976760855456,0.7966666666666666,0.40315091187798285,0.7933333333333333,0.40559080597963043,0.07333333333333325,0.07333333333333325,0.06999999999999995,0.06999999999999995,-0.0033333333333332993,0.0033333333333332993
ellipsis,ellipsis_double_object,300,0.0,0.0,0.0,0.0,0.03666666666666667,0.18825609351281195,0.0,0.0,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.03666666666666667
quantifiers,superlative_quantifiers_2,300,0.7133333333333334,0.45296004041888344,0.76,0.42779671976864897,0.75,0.4337361989746802,0.046666666666666634,0.046666666666666634,0.036666666666666625,0.036666666666666625,-0.010000000000000009,0.010000000000000009
ellipsis,ellipsis_n_bar_class,300,0.85,0.3576680324053051,0.8766666666666667,0.3293688434044334,0.8533333333333334,0.35436441131823415,0.026666666666666727,0.026666666666666727,0.0033333333333334103,0.0033333333333334103,-0.023333333333333317,0.023333333333333317
ellipsis,ellipsis_adj,300,0.6666666666666666,0.47219216464988567,0.6433333333333333,0.4798155535623628,0.6466666666666666,0.47880378629957054,-0.023333333333333317,0.023333333333333317,-0.020000000000000018,0.020000000000000018,0.0033333333333332993,0.0033333333333332993
anaphor,anaphor_number_agreement,300,0.78,0.4149384448848748,0.6866666666666666,0.46462365345879686,0.69,0.46326599768964744,-0.09333333333333338,0.09333333333333338,-0.09000000000000008,0.09000000000000008,0.0033333333333332993,0.0033333333333332993
