Model,MC_Acc,Judge_Acc,Correction_GLEU,Correction_EM,Total_Samples,GLEU_Anaphor,GLEU_Ellipsis,GLEU_Quantifiers
0.5b,1.0,0.4581005586592179,0.013838306390969059,0.0,630,0.011587727716476953,0.015369838544724972,0.014261332572333703
1.4b,1.0,0.5139664804469274,0.6943513239424971,0.20105820105820105,630,0.6667158939999683,0.6233461037412885,0.8266372247271171
1.5b,1.0,0.39106145251396646,0.8159011542738835,0.6084656084656085,630,0.8233483902620585,0.7469023949878619,0.9049695608997884
3b,1.0,0.21787709497206703,0.8231667825711926,0.5873015873015873,630,0.7836910733081919,0.7350353619792186,0.9933153638814016
